"CITY","WEATHER","VISIBILITY","TEMP","TEMP_MIN","TEMP_MAX","PRESSURE","HUMIDITY","WIND_SPEED","WIND_DEG","FORECAST_DATETIME"
"Paris","Clouds",10000,22.81,22.81,22.81,1009,44,6.31,219,"2024-04-06 12:00:00"
"Paris","Clouds",10000,21.36,21.36,21.36,1011,51,5.44,233,"2024-04-06 15:00:00"
"Paris","Clouds",10000,17.88,17.88,17.88,1013,62,3.79,244,"2024-04-06 18:00:00"
"Paris","Clouds",10000,15.78,15.78,15.78,1015,65,4.12,238,"2024-04-06 21:00:00"
"Paris","Clouds",10000,14.52,14.52,14.52,1016,59,3.17,237,"2024-04-07 00:00:00"
"Paris","Rain",10000,12.31,12.31,12.31,1016,81,3.79,176,"2024-04-07 03:00:00"
"Paris","Rain",10000,12.4,12.4,12.4,1017,82,3.55,182,"2024-04-07 06:00:00"
"Paris","Clouds",10000,14.86,14.86,14.86,1018,70,4.27,189,"2024-04-07 09:00:00"
"Paris","Clouds",10000,16.78,16.78,16.78,1016,61,2.97,175,"2024-04-07 12:00:00"
"Paris","Clouds",10000,19.12,19.12,19.12,1014,57,2.44,161,"2024-04-07 15:00:00"
"Paris","Rain",10000,16.89,16.89,16.89,1013,74,1.41,19,"2024-04-07 18:00:00"
"Paris","Clouds",10000,15.6,15.6,15.6,1013,82,2.62,336,"2024-04-07 21:00:00"
"Paris","Clouds",10000,14.01,14.01,14.01,1011,81,2.41,7,"2024-04-08 00:00:00"
"Paris","Clouds",10000,13.26,13.26,13.26,1009,82,3.49,45,"2024-04-08 03:00:00"
"Paris","Clouds",10000,12.69,12.69,12.69,1009,84,3.32,344,"2024-04-08 06:00:00"
"Paris","Clouds",10000,14.49,14.49,14.49,1009,76,2.32,70,"2024-04-08 09:00:00"
"Paris","Rain",10000,15.14,15.14,15.14,1008,85,1.5,158,"2024-04-08 12:00:00"
"Paris","Rain",10000,18.19,18.19,18.19,1007,73,2.89,243,"2024-04-08 15:00:00"
"Paris","Clouds",10000,14.66,14.66,14.66,1007,86,2.22,353,"2024-04-08 18:00:00"
"Paris","Clouds",10000,12.69,12.69,12.69,1008,91,2.05,6,"2024-04-08 21:00:00"
"Paris","Rain",10000,11.73,11.73,11.73,1008,91,2.95,18,"2024-04-09 00:00:00"
"Paris","Rain",10000,10.91,10.91,10.91,1008,93,3.44,357,"2024-04-09 03:00:00"
